timestamp,open,high,low,close,volume
1764309600000,3024.46,3024.47,3003.35,3010.01,8572.1205
1764313200000,3010.01,3023.13,3000.7,3001.91,19244.3442
1764316800000,3001.9,3077.77,3001.59,3065.24,39712.4741
1764320400000,3065.24,3072.99,3048.51,3055.27,12204.5392
1764324000000,3055.27,3063.69,3047.24,3060.96,8166.3245
1764327600000,3060.97,3062.27,3018.14,3034.02,14385.6131
1764331200000,3034.02,3046.4,3032.55,3036.08,7131.1567
1764334800000,3036.08,3087.67,3026.32,3073.91,20097.9379
1764338400000,3073.91,3099.0,3052.02,3067.38,30522.1874
1764342000000,3067.38,3092.0,3055.63,3073.77,25214.319
1764345600000,3073.78,3074.4,3021.6,3025.59,28629.3545
1764349200000,3025.6,3044.25,3011.22,3034.78,27756.2849
1764352800000,3034.76,3049.01,3024.41,3042.61,13294.5353
1764356400000,3042.6,3060.0,3037.5,3050.0,10066.8522
1764360000000,3049.99,3057.82,3036.05,3056.38,8306.4778
1764363600000,3056.38,3059.48,3036.13,3036.55,6562.0327
1764367200000,3036.56,3042.84,3020.57,3039.53,8546.3739
1764370800000,3039.54,3045.53,3030.3,3031.15,4148.7516
1764374400000,3031.14,3039.07,3029.94,3035.95,5088.5312
1764378000000,3035.94,3052.64,3032.35,3038.51,6292.7999
1764381600000,3038.51,3040.27,3023.58,3030.51,6368.1891
1764385200000,3030.51,3036.0,3017.73,3022.6,6805.8259
1764388800000,3022.61,3045.6,3020.0,3041.04,6376.7451
1764392400000,3041.01,3043.26,3031.4,3033.21,5840.4203
1764396000000,3033.21,3038.45,2992.5,3007.64,21897.2576
1764399600000,3007.64,3014.51,2995.8,3004.9,8437.5736
1764403200000,3004.9,3011.41,3001.03,3008.29,5129.7948
1764406800000,3008.28,3010.4,2998.35,3002.05,8389.8706
1764410400000,3002.05,3007.95,2986.09,2997.32,14219.3495
1764414000000,2997.31,3002.86,2992.08,2999.82,9857.1595
1764417600000,2999.82,3002.3,2992.68,2997.22,6908.8901
1764421200000,2997.21,3001.97,2992.39,2998.4,4964.9233
1764424800000,2998.4,2998.72,2986.4,2988.28,15545.4928
1764428400000,2988.29,3014.09,2988.29,3007.41,17318.0464
1764432000000,3007.41,3011.31,2998.37,3003.07,12386.3867
1764435600000,3003.07,3004.5,2966.88,2969.98,19747.667
1764439200000,2969.98,2998.45,2961.91,2994.72,17579.192
1764442800000,2994.73,2999.81,2984.0,2988.47,4628.9189
1764446400000,2988.47,2999.16,2983.1,2997.42,3653.4837
1764450000000,2997.42,2999.17,2982.49,2994.18,3667.386
1764453600000,2994.19,2995.88,2984.09,2988.83,4074.4943
1764457200000,2988.83,2994.05,2985.74,2989.16,2725.732
1764460800000,2989.17,2999.67,2987.95,2997.31,3169.2708
1764464400000,2997.31,3012.29,2996.33,3004.97,6218.0609
1764468000000,3004.96,3011.94,2990.38,2990.96,4973.8916
1764471600000,2990.96,3005.43,2975.3,3001.69,8342.7414
1764475200000,3001.68,3003.45,2995.74,2998.49,2354.0327
1764478800000,2998.49,2998.51,2985.69,2992.3,5631.133
1764482400000,2992.3,3000.85,2987.04,2997.86,3047.0143
1764486000000,2997.86,3008.9,2996.25,3005.22,3438.6445
1764489600000,3005.22,3018.48,3002.57,3006.88,7926.0099
1764493200000,3006.88,3015.0,3004.45,3010.16,5095.4649
1764496800000,3010.16,3011.56,3005.98,3009.59,4713.219
1764500400000,3009.59,3017.61,2999.94,3003.36,5556.6529
1764504000000,3003.37,3033.53,3000.34,3025.99,11634.0596
1764507600000,3025.99,3053.02,3022.51,3048.99,21862.5951
1764511200000,3049.0,3051.01,3027.41,3037.84,13453.9962
1764514800000,3037.83,3037.83,3024.69,3028.69,13847.1171
1764518400000,3028.69,3049.34,3028.24,3043.57,9136.8847
1764522000000,3043.57,3044.33,3031.49,3041.01,9475.6127
1764525600000,3041.02,3041.5,3029.06,3036.9,3891.5617
1764529200000,3036.9,3040.97,3029.39,3034.71,4418.0306
1764532800000,3034.71,3041.14,3023.32,3028.94,3633.5299
1764536400000,3028.94,3029.46,3014.93,3022.34,6733.4648
1764540000000,3022.35,3036.74,3021.13,3033.62,5606.3105
1764543600000,3033.62,3035.47,2989.06,2991.26,18563.1265
1764547200000,2991.25,2999.47,2830.63,2836.4,100170.4911
1764550800000,2836.4,2860.0,2833.65,2850.86,26167.4515
1764554400000,2850.87,2873.82,2827.47,2837.92,38591.3783
1764558000000,2837.92,2842.0,2813.2,2825.77,34474.4182
1764561600000,2825.77,2827.97,2806.71,2821.83,27234.3801
1764565200000,2821.83,2830.92,2810.12,2827.8,13480.4566
1764568800000,2827.8,2835.84,2822.5,2824.56,9577.2834
1764572400000,2824.57,2844.11,2820.02,2840.21,16399.137
1764576000000,2840.21,2846.31,2832.3,2840.55,14459.6513
1764579600000,2840.55,2854.35,2828.62,2839.59,71328.5537
1764583200000,2839.59,2846.5,2837.57,2844.02,26318.7573
1764586800000,2844.02,2850.66,2836.0,2838.35,42305.0311
1764590400000,2838.36,2840.31,2794.59,2821.08,37040.9502
1764594000000,2821.08,2839.83,2805.0,2813.29,30227.999
1764597600000,2813.28,2832.0,2805.88,2818.03,30987.8159
1764601200000,2818.03,2820.44,2716.04,2745.72,129921.2631
1764604800000,2745.73,2755.79,2719.73,2731.47,43671.3232
1764608400000,2731.51,2752.92,2728.42,2739.62,16817.0001
1764612000000,2739.62,2758.02,2724.75,2749.54,18002.8709
1764615600000,2749.54,2753.5,2730.59,2740.8,13672.2667
1764619200000,2740.8,2770.3,2739.89,2757.82,35229.5088
1764622800000,2757.84,2797.84,2756.01,2791.71,34890.5279
1764626400000,2791.72,2814.14,2790.73,2797.35,28162.087
1764630000000,2797.35,2819.35,2796.67,2799.07,9872.3885
1764633600000,2799.07,2804.31,2782.81,2795.68,10803.2312
1764637200000,2795.67,2825.11,2793.12,2795.09,14683.6168
1764640800000,2795.09,2814.5,2785.07,2801.14,8800.4747
1764644400000,2801.14,2810.43,2785.49,2804.55,6642.6519
1764648000000,2804.55,2814.2,2803.07,2805.0,7014.7794
1764651600000,2805.0,2807.32,2796.88,2803.21,9151.1806
1764655200000,2803.21,2815.88,2797.62,2812.92,7359.0956
1764658800000,2812.92,2814.43,2802.85,2805.65,6660.281
1764662400000,2805.66,2806.78,2782.19,2798.18,11698.0659
1764666000000,2798.2,2811.63,2795.55,2798.05,7952.1157
1764669600000,2798.04,2834.5,2797.61,2823.13,12892.8161
1764673200000,2823.13,2831.36,2816.46,2826.18,9173.9588
1764676800000,2826.18,2831.94,2816.82,2827.86,12289.1955
1764680400000,2827.86,2848.07,2822.2,2844.73,29156.9059
1764684000000,2844.73,2910.05,2841.0,2894.98,89820.4002
1764687600000,2894.98,3024.98,2893.82,3006.61,112646.1637
1764691200000,3006.61,3025.0,2987.19,2995.58,50652.6862
1764694800000,2995.57,3033.7,2993.99,3015.83,25008.7524
1764698400000,3015.83,3033.76,3007.99,3013.56,19679.9312
1764702000000,3013.56,3029.47,3013.02,3015.83,9228.1932
1764705600000,3015.84,3016.95,2972.35,2979.72,28776.8127
1764709200000,2979.71,2998.0,2977.66,2995.45,10618.9606
1764712800000,2995.44,3021.27,2995.06,3017.55,10739.0981
1764716400000,3017.55,3018.49,2991.87,2996.07,12257.9912
1764720000000,2996.07,3008.62,2985.58,3003.2,11724.6488
1764723600000,3003.19,3027.84,2999.3,3015.84,11178.0916
1764727200000,3015.84,3048.0,3013.97,3031.0,19622.9467
1764730800000,3031.01,3038.0,3021.2,3030.75,8750.3202
1764734400000,3030.74,3059.45,3029.59,3056.77,20555.1175
1764738000000,3056.78,3070.66,3048.23,3058.57,18848.1017
1764741600000,3058.56,3085.56,3055.25,3067.21,26963.4398
1764745200000,3067.21,3068.58,3051.83,3057.44,17245.2563
1764748800000,3057.44,3060.99,3043.75,3050.77,13267.095
1764752400000,3050.76,3063.29,3045.25,3060.64,7420.7262
1764756000000,3060.64,3080.0,3050.22,3055.61,12248.0288
1764759600000,3055.61,3077.0,3049.51,3073.23,12528.7388
1764763200000,3073.23,3084.39,3067.17,3081.14,19224.8769
1764766800000,3081.15,3094.96,3077.7,3090.27,16630.8664
1764770400000,3090.27,3145.68,3030.42,3076.53,103536.0387
1764774000000,3076.53,3110.35,3056.62,3086.12,33224.6498
1764777600000,3086.13,3107.28,3064.36,3088.35,18437.3778
1764781200000,3088.35,3134.07,3087.47,3127.9,24091.617
1764784800000,3127.91,3142.15,3104.34,3115.3,20262.897
1764788400000,3115.3,3133.28,3111.67,3128.2,14027.0904
1764792000000,3128.2,3159.0,3117.0,3138.26,32515.6815
1764795600000,3138.23,3169.91,3128.5,3164.42,23091.2942
1764799200000,3164.43,3197.11,3144.26,3189.22,38030.5689
1764802800000,3189.23,3214.99,3178.48,3188.36,30244.3446
1764806400000,3188.39,3207.0,3174.19,3198.29,24628.0917
1764810000000,3198.3,3240.35,3194.82,3202.99,38689.5286
1764813600000,3203.0,3225.99,3198.87,3221.56,12170.4067
1764817200000,3221.56,3228.68,3205.11,3210.13,9571.4474
1764820800000,3210.12,3219.48,3187.14,3191.63,12943.1849
1764824400000,3191.63,3195.0,3170.47,3185.31,20725.147
1764828000000,3185.32,3219.62,3180.6,3205.13,21196.2917
1764831600000,3205.12,3205.28,3180.9,3190.1,21456.4265
1764835200000,3190.1,3197.05,3175.51,3184.05,12935.83
1764838800000,3184.05,3208.63,3182.39,3200.04,10724.1419
1764842400000,3200.04,3203.96,3184.81,3188.41,7794.0963
