timestamp,open,high,low,close,volume
1764309600000,895.41,895.68,888.23,889.0,5553.995
1764313200000,889.01,890.08,881.6,882.47,9631.672
1764316800000,882.46,896.3,882.42,892.51,10080.076
1764320400000,892.52,896.4,890.76,894.96,7246.27
1764324000000,894.97,898.52,893.0,897.92,5831.858
1764327600000,897.92,897.92,888.16,891.81,7364.384
1764331200000,891.8,893.2,889.5,889.64,2533.805
1764334800000,889.63,899.48,887.2,898.87,9218.411
1764338400000,898.87,903.7,893.25,898.79,15907.438
1764342000000,898.8,906.5,896.16,902.0,11432.698
1764345600000,902.0,902.33,884.14,884.59,12648.023
1764349200000,884.6,885.59,876.15,881.12,15676.746
1764352800000,881.11,884.05,877.0,882.48,8298.141
1764356400000,882.48,887.4,882.13,886.29,4310.101
1764360000000,886.28,890.3,883.1,889.81,3598.964
1764363600000,889.8,890.46,885.11,885.81,5313.981
1764367200000,885.81,889.0,883.99,888.32,4302.664
1764370800000,888.33,889.49,887.19,887.19,2895.705
1764374400000,887.2,887.87,884.23,885.9,1975.706
1764378000000,885.9,889.0,885.4,886.01,3303.73
1764381600000,886.01,887.39,883.47,885.28,1934.996
1764385200000,885.29,886.54,883.58,884.14,2052.206
1764388800000,884.13,884.84,882.79,884.47,4508.329
1764392400000,884.47,884.48,881.1,881.3,4327.374
1764396000000,881.29,882.8,876.46,878.9,6775.794
1764399600000,878.91,880.55,878.1,879.06,4438.056
1764403200000,879.07,880.72,878.0,880.0,2930.714
1764406800000,880.0,881.52,879.39,881.21,2804.322
1764410400000,881.2,882.25,878.15,879.07,2289.992
1764414000000,879.07,879.77,877.49,878.56,3387.721
1764417600000,878.56,879.6,875.97,877.19,4347.107
1764421200000,877.19,878.7,875.22,878.09,2906.864
1764424800000,878.1,878.24,875.51,875.76,2072.749
1764428400000,875.76,882.0,875.75,880.93,4531.382
1764432000000,880.92,881.76,879.12,881.29,2236.304
1764435600000,881.29,881.65,872.79,872.93,6826.738
1764439200000,872.93,874.27,868.25,874.01,9661.032
1764442800000,874.01,874.59,872.6,873.1,1360.896
1764446400000,873.09,874.68,870.6,874.53,1361.704
1764450000000,874.53,875.66,872.0,875.4,1344.721
1764453600000,875.4,875.4,872.73,873.5,1286.02
1764457200000,873.5,875.21,871.59,872.9,1395.475
1764460800000,872.9,875.3,872.8,875.3,1642.967
1764464400000,875.29,878.58,874.9,876.86,1782.82
1764468000000,876.86,878.94,873.89,873.96,1593.936
1764471600000,873.97,876.2,869.56,875.59,3779.914
1764475200000,875.6,876.95,873.85,874.2,1596.962
1764478800000,874.2,874.26,870.13,871.45,2782.138
1764482400000,871.45,874.29,870.8,872.44,1910.122
1764486000000,872.44,875.6,872.21,874.78,1820.671
1764489600000,874.79,878.6,874.4,877.34,3527.914
1764493200000,877.35,879.53,876.8,879.17,2991.592
1764496800000,879.18,879.69,876.52,877.14,2140.05
1764500400000,877.14,878.92,875.76,876.72,3086.432
1764504000000,876.72,883.66,875.7,882.58,5510.09
1764507600000,882.59,896.5,882.58,896.45,20608.706
1764511200000,896.45,897.89,890.23,893.91,10627.812
1764514800000,893.91,895.38,890.26,893.99,4584.642
1764518400000,894.0,899.75,893.87,899.12,5951.702
1764522000000,899.11,899.12,895.32,897.46,3402.523
1764525600000,897.46,897.48,892.85,895.9,4437.434
1764529200000,895.91,896.63,893.94,894.99,1427.337
1764532800000,895.0,897.0,892.4,895.32,3463.89
1764536400000,895.33,895.55,886.79,889.06,6305.191
1764540000000,889.07,890.11,885.61,888.37,3028.241
1764543600000,888.38,888.53,874.2,875.31,8227.501
1764547200000,875.3,877.12,834.3,834.5,60097.061
1764550800000,834.5,845.47,834.21,837.79,18317.468
1764554400000,837.82,842.51,834.04,836.01,15731.694
1764558000000,836.0,836.99,827.59,829.4,19324.312
1764561600000,829.39,829.66,821.88,823.17,13363.091
1764565200000,823.17,824.63,820.73,823.29,9081.19
1764568800000,823.3,829.98,822.55,828.03,14200.254
1764572400000,828.03,832.97,825.33,832.43,8150.424
1764576000000,832.44,833.39,827.7,829.91,12399.729
1764579600000,829.9,832.18,823.0,823.63,18815.782
1764583200000,823.63,828.04,823.63,828.0,10176.391
