timestamp,open,high,low,close,volume
1769994000000,102.28,103.14,100.41,102.09,200480.789
1769997600000,102.1,102.74,100.57,100.75,171221.396
1770001200000,100.75,100.88,95.95,100.07,751071.305
1770004800000,100.08,101.79,98.66,100.31,256969.433
1770008400000,100.3,100.46,97.67,98.3,320609.52
1770012000000,98.3,101.4,97.07,100.72,663349.31
1770015600000,100.72,102.43,100.46,101.43,334885.952
1770019200000,101.42,102.49,101.36,101.7,265638.565
1770022800000,101.71,103.19,101.42,102.79,271740.85
1770026400000,102.79,103.45,102.62,102.88,128297.428
1770030000000,102.89,103.44,102.65,102.78,125649.771
1770033600000,102.78,103.78,102.78,103.3,103997.092
1770037200000,103.29,103.7,102.83,103.33,94483.569
1770040800000,103.33,105.14,102.39,103.97,326326.232
1770044400000,103.97,106.12,103.56,104.7,361531.853
1770048000000,104.69,105.78,104.28,105.0,168382.676
1770051600000,105.0,105.58,104.45,104.81,139614.847
1770055200000,104.81,105.04,103.88,104.72,110398.202
1770058800000,104.72,104.84,103.51,103.89,97318.24
1770062400000,103.88,104.26,103.32,103.84,117301.349
1770066000000,103.85,104.99,103.8,104.84,71731.119
1770069600000,104.84,105.2,104.55,105.02,50345.646
1770073200000,105.02,105.07,104.41,104.55,54517.523
1770076800000,104.54,104.67,103.7,104.18,104401.334
1770080400000,104.17,104.4,103.56,104.39,74503.014
1770084000000,104.4,104.4,102.35,102.44,94235.257
1770087600000,102.44,104.42,102.18,104.16,139835.881
1770091200000,104.17,105.1,103.86,104.68,65013.811
1770094800000,104.68,104.73,103.65,103.72,59729.763
1770098400000,103.72,104.08,102.96,103.98,93535.533
1770102000000,103.98,104.91,103.75,104.7,84268.477
1770105600000,104.7,105.04,104.07,104.11,91071.169
1770109200000,104.11,104.21,102.54,103.15,169415.452
1770112800000,103.14,103.35,102.5,102.9,94786.204
1770116400000,102.91,103.42,102.83,103.01,70281.313
1770120000000,103.01,103.38,102.53,103.13,120153.518
1770123600000,103.13,103.59,102.74,103.42,92001.779
1770127200000,103.41,103.65,100.75,100.86,240476.164
1770130800000,100.85,102.79,100.41,102.56,363592.435
1770134400000,102.56,102.56,99.96,100.73,292972.486
1770138000000,100.72,100.97,99.03,99.11,261309.985
1770141600000,99.11,99.43,96.64,96.84,492016.125
1770145200000,96.83,100.1,96.7,99.02,422917.456
1770148800000,99.01,102.07,98.31,101.14,463864.095
1770152400000,101.14,101.85,100.0,100.2,217826.199
1770156000000,100.21,100.29,98.15,98.48,174220.531
1770159600000,98.48,98.6,97.21,97.89,231590.134
1770163200000,97.89,98.8,97.17,97.99,159961.645
1770166800000,97.99,99.67,97.99,99.12,218613.585
1770170400000,99.12,99.2,97.41,97.93,114405.673
1770174000000,97.94,99.64,97.92,99.13,152272.144
1770177600000,99.12,99.35,98.04,98.09,92965.528
1770181200000,98.1,98.46,96.46,97.02,179530.995
1770184800000,97.02,98.8,96.78,98.25,152204.959
1770188400000,98.25,98.25,97.41,97.9,137254.97
1770192000000,97.91,97.96,96.77,97.73,129646.36
1770195600000,97.72,97.79,96.76,97.14,218414.914
1770199200000,97.14,97.29,96.76,97.03,137721.348
1770202800000,97.03,97.07,94.71,96.11,538023.224
1770206400000,96.12,96.73,95.86,96.47,115606.188
1770210000000,96.47,96.48,94.17,94.39,239663.684
1770213600000,94.38,95.04,92.95,93.13,424135.443
1770217200000,93.12,94.2,91.31,92.79,528333.294
1770220800000,92.8,93.13,90.98,91.97,433203.065
1770224400000,91.97,92.63,90.0,91.44,421163.314
1770228000000,91.45,93.24,90.35,92.3,451732.674
1770231600000,92.3,94.71,92.28,94.38,315268.825
1770235200000,94.38,94.5,93.0,93.24,165959.333
1770238800000,93.24,93.39,90.73,91.32,329000.461
1770242400000,91.33,92.9,89.3,90.82,348795.709
1770246000000,90.82,92.94,90.26,92.12,247582.036
1770249600000,92.11,92.76,91.37,91.74,135956.978
1770253200000,91.75,92.89,90.52,91.94,229315.953
1770256800000,91.94,92.72,90.7,90.93,251723.337
1770260400000,90.92,91.69,90.24,91.15,233855.042
1770264000000,91.14,91.92,90.32,91.13,309041.126
1770267600000,91.13,92.11,89.92,91.17,338190.784
1770271200000,91.17,91.24,89.68,90.21,290107.668
1770274800000,90.22,91.66,90.16,90.54,206321.3
1770278400000,90.55,92.46,90.55,91.77,187136.515
1770282000000,91.77,93.43,91.74,92.5,221009.002
1770285600000,92.51,92.66,89.8,90.31,256513.571
1770289200000,90.31,90.82,88.66,89.98,396887.146
1770292800000,89.98,90.76,88.68,89.53,335956.945
1770296400000,89.52,90.06,88.2,88.48,235626.321
1770300000000,88.48,91.43,88.31,88.6,402176.134
1770303600000,88.6,88.99,83.44,84.61,1244012.124
1770307200000,84.61,86.2,83.69,85.55,620015.939
1770310800000,85.55,85.73,82.44,82.7,566133.877
1770314400000,82.7,83.34,81.21,82.96,519726.287
1770318000000,82.96,83.31,81.41,81.68,257589.954
1770321600000,81.68,82.3,77.68,78.84,1411253.151
1770325200000,78.84,81.2,78.38,79.0,617082.215
1770328800000,79.01,80.68,77.6,79.81,540957.902
1770332400000,79.81,81.63,78.08,78.35,436766.209
1770336000000,78.34,78.8,67.5,75.51,3089489.443
1770339600000,75.51,79.79,75.48,79.6,700827.467
1770343200000,79.6,80.3,76.4,76.95,611199.893
1770346800000,76.95,77.4,75.73,76.71,456321.363
1770350400000,76.71,78.03,76.22,77.76,253885.587
1770354000000,77.75,81.65,77.59,81.15,395672.114
1770357600000,81.15,81.6,79.39,79.5,345800.297
1770361200000,79.51,80.61,78.76,79.59,322896.132
1770364800000,79.6,80.23,78.67,79.07,298250.313
1770368400000,79.07,81.69,78.95,81.34,275609.175
1770372000000,81.34,82.04,80.74,80.81,287047.944
1770375600000,80.81,81.75,80.46,81.36,193389.344
1770379200000,81.36,81.96,80.85,81.89,194847.569
1770382800000,81.9,83.85,81.7,83.11,478357.397
1770386400000,83.11,85.19,81.9,84.18,557554.302
1770390000000,84.18,85.06,83.4,84.49,474300.983
1770393600000,84.48,87.23,83.66,86.74,556817.838
1770397200000,86.74,88.72,86.16,86.73,528459.779
1770400800000,86.73,86.87,85.23,86.17,327231.78
1770404400000,86.17,87.45,85.56,87.09,321039.854
1770408000000,87.09,87.96,86.63,86.92,261798.76
1770411600000,86.91,88.2,86.6,88.06,222150.345
1770415200000,88.07,89.84,87.95,89.17,276451.098
1770418800000,89.17,89.6,87.36,87.46,381696.989
1770422400000,87.45,87.47,86.1,86.57,394199.595
1770426000000,86.56,87.49,85.91,87.13,171212.256
1770429600000,87.12,87.61,86.81,87.35,97079.195
1770433200000,87.35,88.39,87.24,88.1,156169.361
1770436800000,88.09,89.04,87.29,87.73,206456.826
1770440400000,87.74,88.64,87.55,87.81,141424.854
1770444000000,87.8,88.25,86.22,86.25,158715.59
1770447600000,86.25,86.65,84.16,85.29,469013.761
1770451200000,85.29,85.74,84.75,85.36,159075.988
1770454800000,85.36,85.73,84.81,85.24,105888.694
1770458400000,85.23,85.48,84.51,85.0,103550.783
1770462000000,85.0,85.2,84.58,84.91,80180.824
1770465600000,84.9,87.2,84.85,86.22,226079.916
1770469200000,86.23,86.65,85.57,86.13,108278.914
1770472800000,86.13,86.61,85.51,85.77,101836.211
1770476400000,85.77,86.97,85.65,86.57,133334.935
1770480000000,86.56,88.12,86.17,87.05,1017602.208
1770483600000,87.06,87.74,86.48,87.65,95222.813
1770487200000,87.64,89.19,87.45,88.71,127323.95
1770490800000,88.72,88.79,88.03,88.3,91821.874
1770494400000,88.3,89.2,88.01,88.91,90428.71
1770498000000,88.92,89.2,88.12,88.21,63097.957
1770501600000,88.22,88.77,88.16,88.27,59206.976
1770505200000,88.28,88.34,86.86,87.59,129447.289
1770508800000,87.59,87.68,87.1,87.35,73903.602
1770512400000,87.34,88.0,87.31,87.89,44359.781
1770516000000,87.89,88.22,86.94,87.27,58486.62
1770519600000,87.27,87.54,86.7,86.82,45889.843
1770523200000,86.82,87.42,86.63,87.41,66781.733
1770526800000,87.4,87.56,87.05,87.29,55447.452
1770530400000,87.29,87.51,86.94,87.17,44402.551
1770534000000,87.17,87.42,86.69,87.42,59984.483
