timestamp,open,high,low,close,volume
1772877600000,68000.00000000,68102.73000000,67870.43000000,67880.31000000,319.42039000
1772881200000,67880.31000000,68232.27000000,67841.67000000,68010.01000000,372.24149000
1772884800000,68010.00000000,68085.41000000,67900.01000000,67992.54000000,359.03867000
1772888400000,67992.54000000,68081.16000000,67855.82000000,67931.06000000,318.23636000
1772892000000,67931.06000000,68083.79000000,67609.44000000,68016.70000000,473.27443000
1772895600000,68016.70000000,68034.67000000,67769.89000000,67877.45000000,577.84468000
1772899200000,67877.45000000,67889.68000000,67702.20000000,67783.63000000,349.26910000
1772902800000,67783.63000000,67935.01000000,67768.97000000,67788.41000000,217.68104000
1772906400000,67788.40000000,67788.41000000,67480.00000000,67568.13000000,1180.24782000
1772910000000,67568.13000000,67572.35000000,66915.26000000,67080.34000000,1312.23020000
1772913600000,67080.33000000,67437.50000000,67068.01000000,67402.98000000,590.47118000
1772917200000,67402.98000000,67483.05000000,67281.34000000,67452.98000000,638.99995000
1772920800000,67452.97000000,67469.87000000,67101.31000000,67258.65000000,706.81324000
1772924400000,67258.65000000,67403.85000000,67183.39000000,67262.91000000,394.96477000
1772928000000,67262.91000000,67481.96000000,67181.04000000,67194.77000000,552.27054000
1772931600000,67194.77000000,67353.57000000,67090.00000000,67297.27000000,565.85563000
1772935200000,67297.27000000,67426.52000000,66833.58000000,66925.44000000,765.90711000
1772938800000,66925.45000000,67083.10000000,66850.00000000,67000.26000000,999.40624000
1772942400000,67000.26000000,67100.01000000,66547.15000000,66637.36000000,1206.88314000
1772946000000,66637.35000000,67250.24000000,66617.76000000,67149.93000000,402.00353000
1772949600000,67149.93000000,67231.86000000,67035.18000000,67161.52000000,246.63235000
1772953200000,67161.52000000,67465.11000000,67154.91000000,67319.91000000,1010.57902000
1772956800000,67319.90000000,67577.36000000,67156.93000000,67539.33000000,1008.62460000
1772960400000,67539.34000000,67905.03000000,67474.00000000,67681.00000000,1111.87857000
1772964000000,67681.00000000,68200.00000000,67680.99000000,67904.14000000,646.22527000
1772967600000,67904.15000000,67904.15000000,67411.76000000,67515.00000000,536.67584000
1772971200000,67515.00000000,67650.94000000,66888.00000000,67324.72000000,902.41572000
1772974800000,67324.71000000,67431.81000000,66761.68000000,67234.86000000,1987.58970000
