entry_time,exit_time,entry_price,exit_price,size,pnl,reason
2026-03-08 08:00:00+00:00,2026-03-08 13:00:00+00:00,67539.33,67234.86,0.14791381555013944,-64.97028410113126,SMA10_DOWN
2026-03-08 14:00:00+00:00,2026-03-08 21:00:00+00:00,67339.76,67020.01,0.14738832877014962,-66.93048007849757,SMA10_DOWN
2026-03-09 03:00:00+00:00,2026-03-09 18:00:00+00:00,67205.05,68356.37,0.14668884461189374,149.00045250481708,SMA10_DOWN
2026-03-11 13:00:00+00:00,2026-03-11 22:00:00+00:00,70186.09,70373.01,0.14257928584762114,6.610104013252567,SMA10_DOWN
2026-03-12 10:00:00+00:00,2026-03-12 14:00:00+00:00,70412.11,69590.09,0.1422153956548966,-136.81436780179502,SMA10_DOWN
2026-03-12 15:00:00+00:00,2026-03-12 18:00:00+00:00,70334.88,69819.64,0.14042831279604243,-92.03594665937271,SMA10_DOWN
2026-03-12 19:00:00+00:00,2026-03-12 20:00:00+00:00,70432.32,70164.49,0.13892861428388834,-56.74217074969056,SMA10_DOWN
2026-03-14 20:00:00+00:00,2026-03-15 12:00:00+00:00,70805.71,71610.33,0.1373954048313399,90.98378116511594,SMA10_DOWN
2026-03-15 19:00:00+00:00,2026-03-16 08:00:00+00:00,71549.94,73135.0,0.13723662084418806,197.6722059826443,SMA10_DOWN
2026-03-17 14:00:00+00:00,2026-03-17 15:00:00+00:00,74381.7,73914.39,0.13466681349016044,-82.90171050543722,SMA10_DOWN
2026-03-17 17:00:00+00:00,2026-03-17 22:00:00+00:00,74523.75,74307.08,0.1332988169836614,-48.72082824554673,SMA10_DOWN
2026-03-18 02:00:00+00:00,2026-03-18 04:00:00+00:00,74338.93,74175.49,0.1329754894880628,-41.48229169746446,SMA10_DOWN
2026-03-19 19:00:00+00:00,2026-03-19 23:00:00+00:00,70271.99,69930.0,0.14008162847477446,-67.54623919669393,SMA10_DOWN
2026-03-20 00:00:00+00:00,2026-03-20 09:00:00+00:00,70181.0,70583.8,0.13930174979560808,36.50196186804169,SMA10_DOWN
2026-03-20 21:00:00+00:00,2026-03-21 08:00:00+00:00,70540.73,70594.43,0.13910830753114894,-12.162957126314723,SMA10_DOWN
2026-03-23 04:00:00+00:00,2026-03-23 06:00:00+00:00,68541.0,67874.19,0.14298960867426147,-114.85285559540898,SMA10_DOWN
2026-03-23 08:00:00+00:00,2026-03-23 21:00:00+00:00,68434.26,70851.35,0.14153601961068538,322.39136681234595,SMA10_DOWN
2026-03-24 07:00:00+00:00,2026-03-24 13:00:00+00:00,71291.7,70100.46,0.14038074194959968,-187.07589136669594,SMA10_DOWN
2026-03-24 23:00:00+00:00,2026-03-25 14:00:00+00:00,70556.74,71234.28,0.13919425593320986,74.57318063807543,SMA10_DOWN
2026-03-25 16:00:00+00:00,2026-03-26 02:00:00+00:00,71324.01,70893.01,0.13874137941529627,-79.52892005912327,SMA10_DOWN
2026-03-28 04:00:00+00:00,2026-03-28 05:00:00+00:00,66285.01,66300.38,0.14808992473096588,-17.35841828240882,FINAL_MARK
