donchian_len,atr_mult,mode,final_eq,n_trades,n_long,n_short,win_rate,avg_ret,max_dd,sharpe
15,2.0,ls_sma200,694.72,111,45,66,27.03,-0.3062,33.3737,-0.1445
20,3.0,ls_sma200,689.21,73,32,41,31.51,-0.4784,32.791,-0.19
10,2.5,ls_sma100,681.01,103,47,56,31.07,-0.345,36.3714,-0.1447
15,3.5,ls_sma100,680.3,72,34,38,27.78,-0.4948,34.0335,-0.1727
10,2.5,ls_sma200,676.0,97,40,57,29.9,-0.3755,33.894,-0.1567
10,2.5,long_short,667.29,125,63,62,32.8,-0.2961,42.2822,-0.1256
10,3.5,ls_sma100,666.07,76,36,40,26.32,-0.4942,36.4557,-0.1716
15,2.0,long_short,662.19,151,75,76,24.5,-0.2501,42.5151,-0.1156
15,3.0,ls_sma200,654.95,78,32,46,30.77,-0.5092,34.505,-0.1968
10,2.0,ls_sma200,646.8,123,52,71,27.64,-0.3324,35.9724,-0.1577
10,2.0,ls_sma100,646.65,131,64,67,26.72,-0.3111,38.2248,-0.1481
10,3.0,ls_sma100,630.71,88,42,46,30.68,-0.4893,38.7262,-0.1858
15,3.0,ls_sma100,624.09,83,39,44,31.33,-0.5338,39.3693,-0.2046
10,2.0,long_short,615.12,169,86,83,25.44,-0.2644,43.0524,-0.1215
