asset,donchian_len,atr_mult,mode,final_eq,n_trades,n_long,n_short,win_rate,max_dd,sharpe
BTC_1h_fc,20,2.5,ls_sma100,198.15,559,282,277,31.13,81.6687,-0.1281
BTC_1h_fc,30,2.5,ls_sma100,197.73,495,249,246,29.7,80.9074,-0.1463
BTC_1h_fc,30,2.5,ls_sma50,195.66,534,267,267,29.96,81.464,-0.1347
BTC_1h_fc,15,2.0,long_only,192.43,493,493,0,26.17,81.697,-0.1865
BTC_1h_fc,10,3.5,ls_sma200,192.03,401,196,205,30.92,82.763,-0.1295
BTC_1h_fc,30,2.0,ls_sma200,181.21,522,263,259,29.31,83.1205,-0.1735
BTC_1h_fc,30,2.0,ls_sma100,178.3,584,301,283,29.62,83.9747,-0.1545
BTC_1h_fc,10,2.0,long_only,174.24,582,582,0,28.69,83.248,-0.162
BTC_1h_fc,30,2.0,ls_sma50,171.42,632,322,310,30.06,84.9753,-0.1453
BTC_1h_fc,10,2.5,ls_sma50,158.26,680,350,330,30.15,84.6553,-0.1113
BTC_1h_fc,10,2.5,ls_sma200,137.84,580,291,289,30.34,86.339,-0.1462
BTC_1h_fc,10,2.5,ls_sma100,130.85,640,325,315,29.69,87.6673,-0.1348
BTC_1h_fc,20,2.0,ls_sma200,119.15,616,314,302,29.87,88.2679,-0.1874
BTC_1h_fc,15,2.0,ls_sma200,112.62,669,342,327,29.15,89.1546,-0.1709
BTC_1h_fc,20,2.0,ls_sma100,109.67,685,354,331,29.78,90.0066,-0.1713
BTC_1h_fc,15,2.0,ls_sma50,106.14,813,424,389,29.89,89.5895,-0.1407
BTC_1h_fc,15,2.0,ls_sma100,105.55,739,383,356,29.23,90.5955,-0.1567
BTC_1h_fc,20,2.0,ls_sma50,93.28,766,398,368,29.63,90.7919,-0.1634
BTC_1h_fc,10,2.0,ls_sma100,71.92,813,424,389,28.66,93.2288,-0.167
BTC_1h_fc,10,2.0,ls_sma200,70.83,746,380,366,28.55,92.9859,-0.1875
BTC_1h_fc,10,2.0,ls_sma50,65.92,883,464,419,29.45,93.5897,-0.1572
ETH_1h_fc,30,3.0,short_only,1233.65,217,0,217,31.8,37.8272,0.0425
ETH_1h_fc,30,3.0,ls_sma50,1100.08,430,221,209,33.26,55.0605,0.0255
ETH_1h_fc,30,2.5,short_only,1026.29,251,0,251,30.28,40.7876,0.0221
ETH_1h_fc,10,3.0,short_only,1000.64,367,0,367,31.34,54.0914,0.0202
ETH_1h_fc,30,3.0,long_only,920.31,226,226,0,35.4,49.069,0.0114
ETH_1h_fc,10,2.5,short_only,867.21,443,0,443,31.38,63.5781,0.0104
ETH_1h_fc,30,3.5,short_only,826.06,199,0,199,31.16,46.2799,0.0016
ETH_1h_fc,30,3.5,long_only,822.32,201,201,0,33.33,59.256,0.0006
ETH_1h_fc,30,2.5,ls_sma50,817.17,503,257,246,31.61,54.7626,0.0086
ETH_1h_fc,15,2.5,short_only,807.46,377,0,377,29.44,60.4274,0.0048
ETH_1h_fc,30,3.0,ls_sma100,796.3,399,203,196,32.83,56.9111,0.008
ETH_1h_fc,15,3.0,short_only,790.16,320,0,320,30.63,60.7432,0.0038
ETH_1h_fc,30,2.5,long_only,784.5,262,262,0,32.44,44.1201,-0.0075
ETH_1h_fc,20,3.0,ls_sma50,713.77,491,254,237,33.2,58.6233,0.0056
ETH_1h_fc,20,3.0,short_only,707.92,285,0,285,30.53,60.467,-0.0075
ETH_1h_fc,30,3.0,ls_sma200,706.58,355,177,178,31.27,57.4314,-0.0012
ETH_1h_fc,20,2.5,short_only,699.81,329,0,329,28.88,55.0031,-0.0084
ETH_1h_fc,10,3.5,short_only,686.28,319,0,319,32.29,62.4363,-0.0048
ETH_1h_fc,30,2.0,long_only,655.15,315,315,0,32.38,45.0013,-0.0315
ETH_1h_fc,30,2.5,ls_sma100,645.26,461,236,225,30.15,57.3193,-0.0046
ETH_1h_fc,30,3.5,ls_sma50,636.68,378,189,189,32.28,72.6057,-0.003
ETH_1h_fc,30,2.0,short_only,634.86,302,0,302,30.79,56.4932,-0.0264
ETH_1h_fc,30,2.5,ls_sma200,609.8,411,205,206,28.95,56.324,-0.0101
ETH_1h_fc,20,2.0,short_only,588.54,391,0,391,29.92,57.685,-0.0255
ETH_1h_fc,10,2.0,short_only,586.87,547,0,547,32.18,68.3498,-0.0137
ETH_1h_fc,10,3.0,ls_sma50,564.49,533,275,258,33.02,61.1667,-0.0032
ETH_1h_fc,20,3.5,long_only,543.17,255,255,0,34.9,62.2443,-0.0295
ETH_1h_fc,15,3.5,short_only,540.8,283,0,283,30.39,68.4104,-0.0258
ETH_1h_fc,15,3.0,ls_sma50,533.73,519,269,250,32.76,63.2085,-0.0063
ETH_1h_fc,20,3.5,short_only,518.15,254,0,254,29.92,65.6765,-0.0361
ETH_1h_fc,30,2.0,ls_sma200,515.56,485,247,238,30.52,64.8194,-0.0247
ETH_1h_fc,15,2.0,short_only,484.33,463,0,463,30.45,69.7142,-0.0311
ETH_1h_fc,20,3.0,long_only,474.33,294,294,0,33.67,62.9266,-0.0382
ETH_1h_fc,20,2.0,long_only,458.17,409,409,0,30.81,57.581,-0.0483
ETH_1h_fc,15,3.5,ls_sma50,453.56,425,213,212,32.24,70.281,-0.0162
ETH_1h_fc,10,3.5,ls_sma50,453.09,431,218,213,33.18,67.6726,-0.0156
ETH_1h_fc,30,3.5,ls_sma100,452.86,358,178,180,30.17,69.273,-0.0242
ETH_1h_fc,20,3.0,ls_sma100,440.62,453,232,221,31.35,68.121,-0.02
ETH_1h_fc,20,2.5,long_only,426.2,346,346,0,31.21,58.823,-0.0485
ETH_1h_fc,20,3.5,ls_sma50,425.88,416,209,207,32.21,71.6962,-0.0211
ETH_1h_fc,20,2.5,ls_sma50,420.42,597,308,289,30.82,61.3217,-0.0184
ETH_1h_fc,30,2.0,ls_sma50,417.84,608,311,297,31.58,69.9564,-0.029
ETH_1h_fc,30,3.5,ls_sma200,387.22,321,157,164,29.6,70.0793,-0.04
ETH_1h_fc,15,3.0,ls_sma100,386.33,480,248,232,31.67,72.7062,-0.0241
ETH_1h_fc,20,3.0,ls_sma200,376.3,416,204,212,30.29,72.4156,-0.0328
ETH_1h_fc,20,2.0,ls_sma200,375.89,579,290,289,29.71,66.91,-0.0359
ETH_1h_fc,15,2.5,ls_sma50,367.37,643,330,313,30.02,68.0363,-0.0213
ETH_1h_fc,15,3.0,long_only,366.75,334,334,0,33.23,67.193,-0.0524
ETH_1h_fc,15,3.5,long_only,356.74,289,289,0,31.49,67.435,-0.0573
ETH_1h_fc,10,3.0,ls_sma100,350.49,503,258,245,30.82,72.1492,-0.027
ETH_1h_fc,10,2.5,long_only,343.81,457,457,0,32.6,66.003,-0.0486
ETH_1h_fc,30,2.0,ls_sma100,342.77,555,285,270,30.09,74.4235,-0.0432
ETH_1h_fc,20,2.5,ls_sma200,340.4,491,243,248,28.92,68.329,-0.0367
ETH_1h_fc,10,2.5,ls_sma50,336.63,679,346,333,30.34,69.4369,-0.0223
ETH_1h_fc,10,3.5,long_only,335.71,326,326,0,32.21,68.464,-0.0521
ETH_1h_fc,20,2.5,ls_sma100,334.9,538,277,261,30.11,69.7346,-0.033
ETH_1h_fc,15,2.5,ls_sma100,334.8,581,298,283,30.29,71.7597,-0.0292
ETH_1h_fc,15,2.5,long_only,334.56,396,396,0,31.06,67.905,-0.0608
ETH_1h_fc,10,2.5,ls_sma100,325.99,622,312,310,30.39,73.2086,-0.027
ETH_1h_fc,10,3.0,long_only,322.79,385,385,0,32.99,70.57,-0.0523
ETH_1h_fc,20,2.0,ls_sma50,321.31,727,375,352,30.95,72.4334,-0.0335
ETH_1h_fc,10,3.5,ls_sma100,302.88,413,209,204,30.99,75.6489,-0.0383
ETH_1h_fc,10,2.0,long_only,289.42,564,564,0,30.67,71.635,-0.0618
ETH_1h_fc,15,2.0,long_only,277.68,478,478,0,30.75,74.189,-0.0779
ETH_1h_fc,15,3.5,ls_sma100,276.23,404,205,199,29.21,76.9013,-0.0446
ETH_1h_fc,15,3.0,ls_sma200,276.05,451,222,229,30.16,78.3468,-0.0451
ETH_1h_fc,20,3.5,ls_sma100,272.35,393,197,196,29.77,77.1371,-0.0489
ETH_1h_fc,20,3.5,ls_sma200,271.29,360,173,187,29.44,77.0784,-0.0566
ETH_1h_fc,15,2.5,ls_sma200,251.56,541,265,276,28.65,77.1792,-0.0463
ETH_1h_fc,20,2.0,ls_sma100,230.13,651,332,319,29.19,79.5864,-0.0548
ETH_1h_fc,10,3.0,ls_sma200,225.19,485,238,247,30.31,80.7347,-0.0509
ETH_1h_fc,15,2.0,ls_sma200,224.69,657,320,337,29.07,79.7455,-0.0537
ETH_1h_fc,10,2.0,ls_sma50,206.24,872,446,426,30.62,81.9309,-0.0409
ETH_1h_fc,10,2.5,ls_sma200,204.69,595,286,309,28.57,80.1834,-0.0492
ETH_1h_fc,15,2.0,ls_sma50,200.93,802,408,394,31.05,83.0051,-0.0469
ETH_1h_fc,15,3.5,ls_sma200,192.42,384,187,197,28.39,83.8245,-0.0698
ETH_1h_fc,10,2.0,ls_sma100,183.6,791,397,394,29.84,84.8105,-0.05
ETH_1h_fc,10,3.5,ls_sma200,182.99,406,201,205,29.8,82.3729,-0.0676
ETH_1h_fc,15,2.0,ls_sma100,174.38,723,364,359,29.74,84.7991,-0.0593
ETH_1h_fc,10,2.0,ls_sma200,172.43,740,361,379,28.38,84.7833,-0.0564
