asset,donchian_len,atr_mult,sma_len,final_eq,n_trades,n_long,n_short,win_rate,max_dd,sharpe
ETH,30,2.0,150,913.58,80,37,43,33.75,25.667,-0.0185
ETH,20,2.0,300,911.64,86,36,50,31.4,23.012,-0.0185
ETH,30,2.5,200,907.66,67,30,37,32.84,24.855,-0.0174
ETH,20,2.5,300,907.32,70,28,42,30.0,26.5616,-0.015
ETH,20,3.0,250,890.76,61,25,36,34.43,23.0544,-0.0266
ETH,10,2.5,250,889.41,85,37,48,30.59,30.6897,-0.0136
ETH,10,3.0,50,886.38,83,42,41,34.94,31.815,-0.0149
ETH,20,3.0,300,883.86,59,23,36,32.2,23.394,-0.0299
ETH,10,3.0,100,882.72,72,35,37,38.89,39.2069,-0.0208
ETH,10,2.5,300,876.11,82,37,45,28.05,27.1209,-0.0185
ETH,20,2.5,100,875.64,81,39,42,33.33,31.2426,-0.0232
ETH,10,2.5,50,866.01,108,55,53,31.48,26.6884,-0.0149
ETH,30,2.0,100,861.4,90,45,45,32.22,29.3148,-0.0362
ETH,30,2.0,200,857.91,81,37,44,32.1,29.11,-0.0433
ETH,20,2.5,150,844.96,78,35,43,33.33,27.8561,-0.0366
ETH,20,2.0,250,842.96,92,40,52,30.43,27.5246,-0.0445
ETH,20,2.0,150,837.39,93,42,51,31.18,25.403,-0.0452
ETH,10,2.0,300,829.3,109,51,58,32.11,27.904,-0.0371
ETH,10,3.0,150,828.9,72,33,39,34.72,32.0095,-0.0434
ETH,20,2.0,100,818.24,101,49,52,29.7,28.0556,-0.0489
ETH,10,2.0,250,815.6,113,51,62,30.97,29.0487,-0.0399
ETH,20,2.5,200,815.15,78,33,45,33.33,25.014,-0.0502
ETH,20,2.0,200,814.77,93,41,52,30.11,28.764,-0.0556
ETH,20,2.5,50,809.67,97,49,48,31.96,27.3113,-0.0369
ETH,10,2.0,50,805.07,143,76,67,31.47,30.0112,-0.0348
ETH,10,3.0,300,801.82,67,29,38,31.34,25.501,-0.0539
ETH,10,3.0,250,797.87,71,30,41,32.39,30.6993,-0.0534
ETH,10,2.0,200,797.55,116,53,63,31.9,29.773,-0.0457
ETH,10,3.0,200,793.7,73,31,42,32.88,28.443,-0.0589
ETH,20,2.0,50,765.35,121,62,59,31.4,34.7681,-0.0581
ETH,10,2.5,200,754.9,93,41,52,30.11,31.1154,-0.0597
ETH,10,2.0,150,735.15,119,57,62,31.09,37.6396,-0.0668
ETH,10,2.5,150,713.06,95,45,50,29.47,39.2757,-0.0731
SOL,30,2.0,300,1067.65,72,32,40,34.72,19.928,0.0428
SOL,30,2.0,250,1020.95,73,34,39,34.25,25.949,0.0241
SOL,20,2.0,250,966.03,84,38,46,34.52,23.952,0.0031
SOL,30,2.0,50,963.61,100,50,50,30.0,39.0338,0.0059
SOL,20,2.0,300,955.0,83,36,47,34.94,23.2578,-0.0014
SOL,30,2.5,300,954.87,63,27,36,28.57,21.348,-0.0064
SOL,30,2.0,150,949.1,81,38,43,30.86,33.6354,-0.0032
SOL,10,2.0,300,916.03,102,46,56,32.35,26.54,-0.0116
SOL,30,3.0,300,901.17,55,23,32,30.91,22.9212,-0.0388
SOL,30,2.0,200,900.35,80,38,42,31.25,34.772,-0.0235
SOL,20,3.0,300,888.22,59,24,35,35.59,24.3341,-0.0382
SOL,30,2.5,50,885.65,87,44,43,28.74,40.4983,-0.0225
SOL,30,2.5,250,879.1,65,29,36,30.77,27.887,-0.0425
SOL,30,2.0,100,876.99,90,43,47,28.89,37.0767,-0.0295
