donchian_len,atr_mult,sma,final_eq,n_trades,win_rate,avg_ret,max_dd,sharpe
20,3.0,no_filter,745.89,51,27.45,-0.556,27.8218,-0.2955
15,3.5,no_filter,745.01,50,26.0,-0.5632,29.2523,-0.2548
10,2.5,no_filter,744.76,74,28.38,-0.3778,30.7249,-0.188
10,2.5,SMA50,744.53,57,22.81,-0.4989,28.2934,-0.2644
15,2.5,SMA50,744.17,53,24.53,-0.5383,28.328,-0.2826
20,3.5,no_filter,742.34,45,28.89,-0.6392,27.4719,-0.3096
15,2.0,SMA50,741.78,65,23.08,-0.4465,29.363,-0.2846
15,2.0,no_filter,737.06,78,23.08,-0.3763,32.2604,-0.2214
15,3.5,SMA100,731.24,36,25.0,-0.8482,28.1584,-0.4472
20,2.0,SMA50,728.39,62,22.58,-0.4977,30.0849,-0.315
10,2.5,SMA150,726.33,45,28.89,-0.6915,28.139,-0.3742
20,2.5,SMA50,720.93,52,25.0,-0.6104,30.5663,-0.3274
20,2.0,no_filter,717.5,69,23.19,-0.4672,31.6738,-0.2881
20,2.5,no_filter,715.13,58,25.86,-0.5597,31.4576,-0.3014
10,3.0,SMA100,713.38,44,25.0,-0.7467,30.5707,-0.3889
10,2.0,SMA150,712.92,57,22.81,-0.5807,29.388,-0.383
10,2.0,SMA100,712.21,65,24.62,-0.5091,30.8574,-0.3289
10,2.0,SMA50,706.81,75,22.67,-0.4494,32.1562,-0.2839
10,3.5,SMA100,700.04,39,25.64,-0.8901,31.9644,-0.4375
10,2.0,no_filter,698.57,97,26.8,-0.354,35.0789,-0.2003
10,3.0,SMA150,696.9,39,23.08,-0.9034,31.082,-0.466
10,3.5,SMA150,694.14,34,26.47,-1.0478,32.342,-0.5139
