donchian_len,atr_len,atr_mult,csv_md5,final_eq,n_trades,win_rate,avg_ret,max_dd,sharpe_proxy
30,25,3.0,714146da31e0afc82ac1606ae27920d6,790.45,17,41.18,-0.7056,39.2425,-0.0583
15,14,3.0,714146da31e0afc82ac1606ae27920d6,789.25,22,31.82,0.1935,47.1338,0.0113
20,10,2.5,714146da31e0afc82ac1606ae27920d6,788.69,22,27.27,-0.1012,38.7506,-0.0067
25,25,2.5,714146da31e0afc82ac1606ae27920d6,781.0,22,36.36,-0.4107,35.4945,-0.0326
30,14,2.5,714146da31e0afc82ac1606ae27920d6,773.92,19,36.84,-0.6808,32.8633,-0.0564
20,7,2.5,714146da31e0afc82ac1606ae27920d6,773.72,22,27.27,-0.2104,38.6204,-0.0142
15,20,2.5,714146da31e0afc82ac1606ae27920d6,771.2,27,33.33,0.0994,48.2825,0.0063
30,20,3.0,714146da31e0afc82ac1606ae27920d6,770.42,17,35.29,-0.882,38.6369,-0.0745
5,10,2.5,714146da31e0afc82ac1606ae27920d6,769.82,36,33.33,0.4812,60.7321,0.0284
15,7,2.5,714146da31e0afc82ac1606ae27920d6,768.6,26,23.08,0.1075,49.3745,0.0066
12,10,3.0,714146da31e0afc82ac1606ae27920d6,759.5,22,31.82,0.373,53.8563,0.0191
8,10,3.0,714146da31e0afc82ac1606ae27920d6,759.32,25,28.0,0.4085,56.2588,0.0217
30,10,2.5,714146da31e0afc82ac1606ae27920d6,755.32,19,31.58,-0.8325,33.8281,-0.0703
12,14,4.0,714146da31e0afc82ac1606ae27920d6,754.64,15,33.33,2.76,67.1103,0.0763
5,10,2.0,714146da31e0afc82ac1606ae27920d6,754.01,45,40.0,0.258,57.1224,0.0178
15,10,2.5,714146da31e0afc82ac1606ae27920d6,749.21,26,23.08,0.0517,52.0722,0.0031
20,14,3.0,714146da31e0afc82ac1606ae27920d6,746.28,19,31.58,-0.5229,45.1373,-0.0345
