donchian_len,atr_len,atr_mult,csv_md5,final_eq,n_trades,win_rate,avg_ret,max_dd,sharpe
25,7,2.0,4c259467e927290e346f667b39a665db,791.02,54,25.93,-0.4205,23.0533,-0.2596
30,30,2.5,4c259467e927290e346f667b39a665db,790.75,42,26.19,-0.5382,24.0387,-0.2702
25,30,4.0,4c259467e927290e346f667b39a665db,790.43,32,28.12,-0.708,22.7854,-0.3154
25,30,1.5,4c259467e927290e346f667b39a665db,790.38,67,22.39,-0.3428,23.6237,-0.274
25,14,2.0,4c259467e927290e346f667b39a665db,789.36,55,21.82,-0.4172,23.3847,-0.2659
30,25,4.0,4c259467e927290e346f667b39a665db,789.01,30,26.67,-0.7609,22.9287,-0.3277
30,25,2.5,4c259467e927290e346f667b39a665db,787.94,42,26.19,-0.5468,24.3006,-0.2763
25,30,3.0,4c259467e927290e346f667b39a665db,786.86,39,28.21,-0.5927,24.1274,-0.2911
10,20,3.0,4c259467e927290e346f667b39a665db,785.4,62,30.65,-0.3657,26.4503,-0.1675
30,30,3.5,4c259467e927290e346f667b39a665db,782.24,33,27.27,-0.7202,24.0816,-0.3437
30,7,2.5,4c259467e927290e346f667b39a665db,781.03,42,26.19,-0.5684,24.9486,-0.2927
15,10,3.5,4c259467e927290e346f667b39a665db,779.39,49,26.53,-0.4845,28.3979,-0.2234
25,25,1.5,4c259467e927290e346f667b39a665db,778.78,68,22.06,-0.3595,23.7656,-0.2899
8,20,3.0,4c259467e927290e346f667b39a665db,778.45,66,31.82,-0.357,25.0499,-0.1687
12,20,3.0,4c259467e927290e346f667b39a665db,777.03,59,30.51,-0.4049,26.4754,-0.1917
25,14,4.0,4c259467e927290e346f667b39a665db,776.93,33,27.27,-0.7414,23.21,-0.3587
25,20,4.0,4c259467e927290e346f667b39a665db,774.02,33,27.27,-0.7513,23.5098,-0.352
25,20,2.5,4c259467e927290e346f667b39a665db,772.9,46,26.09,-0.5406,24.5193,-0.282
15,25,3.0,4c259467e927290e346f667b39a665db,772.85,54,27.78,-0.4541,25.1281,-0.2136
20,10,3.5,4c259467e927290e346f667b39a665db,772.42,44,29.55,-0.5653,25.448,-0.2796
8,10,3.5,4c259467e927290e346f667b39a665db,772.24,58,32.76,-0.4196,29.2099,-0.1849
30,10,3.0,4c259467e927290e346f667b39a665db,772.01,37,24.32,-0.6771,25.5212,-0.3353
20,25,3.0,4c259467e927290e346f667b39a665db,771.08,49,30.61,-0.5103,24.7536,-0.2591
15,20,3.0,4c259467e927290e346f667b39a665db,768.58,55,27.27,-0.4567,26.008,-0.221
10,14,3.0,4c259467e927290e346f667b39a665db,768.13,63,30.16,-0.395,27.974,-0.1824
8,14,3.0,4c259467e927290e346f667b39a665db,767.94,67,31.34,-0.372,26.2391,-0.1779
30,25,3.5,4c259467e927290e346f667b39a665db,767.12,34,26.47,-0.7566,25.5527,-0.3715
12,10,3.5,4c259467e927290e346f667b39a665db,766.1,53,32.08,-0.4771,30.7497,-0.2133
25,30,3.5,4c259467e927290e346f667b39a665db,765.0,36,25.0,-0.7229,25.7548,-0.3698
25,10,2.0,4c259467e927290e346f667b39a665db,760.72,57,22.81,-0.4674,26.1006,-0.3071
8,14,2.5,4c259467e927290e346f667b39a665db,760.62,79,27.85,-0.3274,28.012,-0.1686
25,25,4.0,4c259467e927290e346f667b39a665db,759.83,33,27.27,-0.8052,24.9091,-0.3632
25,14,2.5,4c259467e927290e346f667b39a665db,759.75,47,25.53,-0.5662,25.7585,-0.3048
12,14,3.0,4c259467e927290e346f667b39a665db,759.56,60,30.0,-0.4359,28.0157,-0.2082
8,10,4.0,4c259467e927290e346f667b39a665db,758.5,51,33.33,-0.5126,30.6214,-0.2143
20,20,3.0,4c259467e927290e346f667b39a665db,758.41,50,30.0,-0.5336,26.6265,-0.2779
15,30,2.0,4c259467e927290e346f667b39a665db,758.37,73,28.77,-0.3631,31.2009,-0.2066
25,20,3.0,4c259467e927290e346f667b39a665db,758.3,42,23.81,-0.6397,25.2199,-0.3432
15,14,2.5,4c259467e927290e346f667b39a665db,758.06,63,26.98,-0.4201,29.5827,-0.2143
10,25,3.0,4c259467e927290e346f667b39a665db,757.85,62,29.03,-0.422,26.0425,-0.1893
15,14,3.0,4c259467e927290e346f667b39a665db,757.62,56,26.79,-0.4744,26.8376,-0.2337
25,30,2.5,4c259467e927290e346f667b39a665db,756.54,47,25.53,-0.5752,27.325,-0.3105
25,14,3.0,4c259467e927290e346f667b39a665db,755.85,42,23.81,-0.648,25.4078,-0.3539
8,7,4.0,4c259467e927290e346f667b39a665db,754.23,53,32.08,-0.5042,30.1561,-0.216
12,14,3.5,4c259467e927290e346f667b39a665db,754.01,53,32.08,-0.5063,29.4392,-0.2233
12,25,3.0,4c259467e927290e346f667b39a665db,749.45,59,28.81,-0.4649,26.8622,-0.215
20,20,3.5,4c259467e927290e346f667b39a665db,749.38,45,28.89,-0.618,26.8033,-0.2965
25,10,2.5,4c259467e927290e346f667b39a665db,748.78,48,25.0,-0.5849,26.7281,-0.3214
8,25,3.0,4c259467e927290e346f667b39a665db,748.32,66,30.3,-0.4156,26.9725,-0.1923
30,7,3.0,4c259467e927290e346f667b39a665db,748.0,39,23.08,-0.7235,27.8793,-0.373
20,14,1.0,4c259467e927290e346f667b39a665db,747.14,100,28.0,-0.2843,27.6424,-0.2417
10,30,2.0,4c259467e927290e346f667b39a665db,746.66,88,30.68,-0.3146,32.2226,-0.1692
15,20,2.5,4c259467e927290e346f667b39a665db,745.91,63,23.81,-0.4448,30.9535,-0.2226
20,14,3.0,4c259467e927290e346f667b39a665db,745.89,51,27.45,-0.556,27.8218,-0.2955
10,14,4.0,4c259467e927290e346f667b39a665db,745.87,50,26.0,-0.5571,31.1866,-0.2341
15,7,1.5,4c259467e927290e346f667b39a665db,745.78,94,25.53,-0.3011,30.3918,-0.2052
15,14,3.5,4c259467e927290e346f667b39a665db,745.01,50,26.0,-0.5632,29.2523,-0.2548
10,14,2.5,4c259467e927290e346f667b39a665db,744.76,74,28.38,-0.3778,30.7249,-0.188
15,10,3.0,4c259467e927290e346f667b39a665db,744.4,57,26.32,-0.4987,28.0321,-0.2608
10,20,4.0,4c259467e927290e346f667b39a665db,744.03,49,30.61,-0.5724,31.0294,-0.2334
15,30,3.0,4c259467e927290e346f667b39a665db,743.78,54,24.07,-0.525,31.2374,-0.2486
20,10,1.0,4c259467e927290e346f667b39a665db,743.68,100,27.0,-0.289,27.9484,-0.2478
10,30,4.0,4c259467e927290e346f667b39a665db,743.68,48,31.25,-0.5837,29.1121,-0.2297
20,30,3.0,4c259467e927290e346f667b39a665db,743.46,49,26.53,-0.5841,28.986,-0.2945
10,7,3.5,4c259467e927290e346f667b39a665db,743.11,59,27.12,-0.478,34.9417,-0.2153
