donchian_len,atr_len,atr_mult,csv_md5,final_eq,n_trades,win_rate,avg_ret,max_dd,sharpe
5,10,3.5,4c259467e927290e346f667b39a665db,660.96,69,27.54,-0.5718,35.478,-0.2451
10,7,2.5,4c259467e927290e346f667b39a665db,656.61,84,25.0,-0.4821,36.6429,-0.2547
5,7,3.0,4c259467e927290e346f667b39a665db,656.59,86,25.58,-0.4698,36.3398,-0.2436
5,14,2.5,4c259467e927290e346f667b39a665db,655.34,96,27.08,-0.4204,36.2683,-0.214
5,30,3.0,4c259467e927290e346f667b39a665db,654.28,77,28.57,-0.5273,36.5319,-0.2475
12,20,1.5,4c259467e927290e346f667b39a665db,652.28,111,22.52,-0.3749,36.7026,-0.2723
8,10,2.0,4c259467e927290e346f667b39a665db,651.59,111,23.42,-0.3722,37.3549,-0.2284
20,7,2.5,4c259467e927290e346f667b39a665db,651.27,63,23.81,-0.6631,37.2947,-0.3749
5,14,3.5,4c259467e927290e346f667b39a665db,650.66,69,26.09,-0.594,36.1658,-0.2527
12,25,2.5,4c259467e927290e346f667b39a665db,650.17,74,24.32,-0.5616,37.1536,-0.2883
10,10,2.0,4c259467e927290e346f667b39a665db,648.14,103,23.3,-0.4061,37.8646,-0.2389
8,30,1.5,4c259467e927290e346f667b39a665db,644.38,130,25.38,-0.3289,37.7525,-0.2484
12,7,2.5,4c259467e927290e346f667b39a665db,644.17,79,24.05,-0.5382,37.1057,-0.2887
5,20,2.5,4c259467e927290e346f667b39a665db,641.85,97,26.8,-0.4375,37.6118,-0.2245
12,20,1.0,4c259467e927290e346f667b39a665db,640.6,137,25.55,-0.3179,37.9125,-0.2745
5,30,2.0,4c259467e927290e346f667b39a665db,640.27,118,29.66,-0.3619,39.1133,-0.2043
10,30,1.5,4c259467e927290e346f667b39a665db,640.19,120,23.33,-0.3617,38.2694,-0.2627
12,10,2.0,4c259467e927290e346f667b39a665db,638.69,94,21.28,-0.4625,38.3587,-0.2799
5,7,4.0,4c259467e927290e346f667b39a665db,637.49,62,27.42,-0.6947,38.507,-0.2862
8,25,1.5,4c259467e927290e346f667b39a665db,636.12,131,25.19,-0.3362,37.8012,-0.2553
5,20,2.0,4c259467e927290e346f667b39a665db,634.29,123,26.83,-0.3546,38.4475,-0.203
10,25,1.5,4c259467e927290e346f667b39a665db,632.11,121,23.14,-0.3692,38.2892,-0.2701
5,10,4.0,4c259467e927290e346f667b39a665db,630.35,60,25.0,-0.736,39.685,-0.296
12,7,1.0,4c259467e927290e346f667b39a665db,630.25,140,21.43,-0.3222,39.2963,-0.2709
5,10,2.5,4c259467e927290e346f667b39a665db,629.9,102,26.47,-0.4345,37.9592,-0.2286
12,14,1.0,4c259467e927290e346f667b39a665db,627.76,140,22.86,-0.3256,39.6535,-0.2844
5,20,3.5,4c259467e927290e346f667b39a665db,626.82,69,26.09,-0.6471,37.5157,-0.2724
5,7,3.5,4c259467e927290e346f667b39a665db,626.42,74,24.32,-0.6058,40.66,-0.2718
12,10,1.0,4c259467e927290e346f667b39a665db,626.36,140,22.14,-0.3273,39.7227,-0.2883
5,7,2.0,4c259467e927290e346f667b39a665db,623.82,129,23.26,-0.3514,39.3271,-0.2094
12,30,1.5,4c259467e927290e346f667b39a665db,623.26,111,22.52,-0.4164,40.3082,-0.3135
5,25,2.0,4c259467e927290e346f667b39a665db,623.06,122,27.87,-0.3724,39.1149,-0.215
12,25,1.0,4c259467e927290e346f667b39a665db,620.6,137,23.36,-0.341,40.2643,-0.2929
5,30,4.0,4c259467e927290e346f667b39a665db,617.41,58,24.14,-0.7947,38.9356,-0.3047
8,20,1.0,4c259467e927290e346f667b39a665db,617.03,165,27.27,-0.2864,39.7162,-0.2638
5,30,3.5,4c259467e927290e346f667b39a665db,616.28,68,29.41,-0.683,39.6366,-0.2941
12,25,1.5,4c259467e927290e346f667b39a665db,615.18,112,22.32,-0.4243,40.3196,-0.3221
8,14,1.0,4c259467e927290e346f667b39a665db,614.69,168,25.6,-0.2835,40.0273,-0.2622
8,10,1.0,4c259467e927290e346f667b39a665db,612.68,169,24.85,-0.2838,40.2626,-0.2646
12,30,1.0,4c259467e927290e346f667b39a665db,612.36,136,22.06,-0.3533,41.6328,-0.3047
5,7,2.5,4c259467e927290e346f667b39a665db,611.54,105,23.81,-0.4502,39.5765,-0.2411
8,30,1.0,4c259467e927290e346f667b39a665db,610.14,163,25.77,-0.2965,41.9563,-0.2661
5,14,2.0,4c259467e927290e346f667b39a665db,608.17,127,25.2,-0.3768,40.9609,-0.222
8,7,1.0,4c259467e927290e346f667b39a665db,604.76,172,25.0,-0.2859,41.0909,-0.2579
5,25,2.5,4c259467e927290e346f667b39a665db,602.3,101,26.73,-0.4834,40.8756,-0.2564
5,7,1.5,4c259467e927290e346f667b39a665db,601.33,162,25.31,-0.3031,42.0295,-0.2082
10,30,1.0,4c259467e927290e346f667b39a665db,600.19,150,24.67,-0.3334,42.5923,-0.2934
10,20,1.0,4c259467e927290e346f667b39a665db,600.09,153,26.8,-0.3272,40.9416,-0.2971
5,30,2.5,4c259467e927290e346f667b39a665db,597.35,101,27.72,-0.4912,42.4552,-0.2583
8,25,1.0,4c259467e927290e346f667b39a665db,597.29,165,25.45,-0.306,42.0194,-0.2809
5,10,2.0,4c259467e927290e346f667b39a665db,596.38,131,23.66,-0.3811,42.0403,-0.2366
5,14,4.0,4c259467e927290e346f667b39a665db,595.23,61,24.59,-0.8167,41.731,-0.3283
5,25,4.0,4c259467e927290e346f667b39a665db,592.49,59,23.73,-0.8504,40.751,-0.3281
10,14,1.0,4c259467e927290e346f667b39a665db,591.55,156,25.0,-0.33,42.3199,-0.3005
5,20,4.0,4c259467e927290e346f667b39a665db,591.52,60,23.33,-0.8393,40.848,-0.3282
10,10,1.0,4c259467e927290e346f667b39a665db,590.72,156,24.36,-0.331,42.3993,-0.303
5,25,3.5,4c259467e927290e346f667b39a665db,589.18,71,28.17,-0.7177,41.082,-0.3201
10,7,1.0,4c259467e927290e346f667b39a665db,588.97,157,24.2,-0.3303,42.5761,-0.2905
5,10,1.5,4c259467e927290e346f667b39a665db,583.0,160,25.0,-0.3263,43.8645,-0.224
10,25,1.0,4c259467e927290e346f667b39a665db,581.69,153,24.84,-0.3475,43.1227,-0.3145
5,20,1.5,4c259467e927290e346f667b39a665db,577.28,160,25.0,-0.3332,44.0024,-0.2385
5,14,1.5,4c259467e927290e346f667b39a665db,568.17,162,24.69,-0.3381,45.336,-0.2329
5,30,1.5,4c259467e927290e346f667b39a665db,555.55,159,25.79,-0.3599,46.63,-0.2637
5,25,1.5,4c259467e927290e346f667b39a665db,545.65,160,25.62,-0.3689,47.0877,-0.2718
5,20,1.0,4c259467e927290e346f667b39a665db,487.37,214,26.64,-0.3294,52.3812,-0.3003
5,7,1.0,4c259467e927290e346f667b39a665db,479.97,222,23.42,-0.3247,53.1156,-0.3086
5,25,1.0,4c259467e927290e346f667b39a665db,476.73,213,24.88,-0.3412,53.7467,-0.3104
5,30,1.0,4c259467e927290e346f667b39a665db,474.72,213,24.41,-0.343,54.9318,-0.3069
5,10,1.0,4c259467e927290e346f667b39a665db,470.26,220,24.55,-0.3366,54.0486,-0.311
5,14,1.0,4c259467e927290e346f667b39a665db,469.19,220,24.55,-0.3376,54.1685,-0.3119
